SqFt,Bedrooms,BHK,Bathrooms,HouseAgeYears,DistanceToCityKm,SchoolRating,CrimeIndex,Latitude,Longitude,SellerName,ContactNumber,Address,PriceUSD
1998.0,3,3,1.0,10,2.5,10,99.6,21.12309,79.08647,Arjun Joshi,+91 768755 9724,"849, Market Street, Dharampeth",311066.0
1124.0,5,5,3.0,75,7.5,4,49.0,21.21109,79.10605,Rahul Deshmukh,+91 675463 6789,"729, Civil Lines, Sitabuldi",151714.0
2288.0,1,1,3.0,48,5.0,5,33.1,21.11982,79.12798,Vikram Chauhan,+91 977739 5823,"547, Ring Road, Manish Nagar",330451.0
2411.0,5,5,1.0,6,3.1,5,53.7,21.16019,79.06259,Sai Rao,+91 865422 7019,"663, Market Street, Trimurti Nagar",377077.0
532.0,3,3,3.0,17,0.9,1,6.4,21.13973,79.08297,Anjali Patel,+91 790135 1945,"403, Station Road, Sadar",147408.0
954.0,4,4,2.0,28,8.3,9,17.7,21.19711,79.14607,Priya Nair,+91 713762 4142,"699, College Road, Wardha Road",205142.0
1883.0,1,1,2.0,1,17.6,8,14.9,21.30415,79.08406,Sai Gupta,+91 992460 2962,"309, Sunrise Boulevard, Pratap Nagar",269078.0
1594.0,5,5,3.5,0,1.3,4,2.8,21.13432,79.08425,Kabir Rao,+91 848122 6553,"314, MG Road, Ramdaspeth",280577.0
1789.0,1,1,3.0,74,3.6,6,72.2,21.1358,79.05545,Arjun Joshi,+91 735787 0439,"827, Market Street, Civil Lines",231723.0
1246.0,5,5,1.5,78,7.4,4,32.5,21.07982,79.09735,Meera Joshi,+91 942214 2525,"415, College Road, Hingna Road",224259.0
2372.0,4,4,1.5,42,1.2,3,16.9,21.14161,79.07753,Kabir Joshi,+91 866800 4572,"531, Market Street, Trimurti Nagar",365863.0
2306.0,2,2,3.5,72,0.8,4,51.2,21.14275,79.08118,Ananya Reddy,+91 646655 1450,"120, Civil Lines, Ramdaspeth",324567.0
1843.0,1,1,3.5,52,0.5,2,32.3,21.1423,79.09124,Amit Patel,+91 896759 0928,"343, Hill Top Road, Pratap Nagar",244936.0
2533.0,4,4,1.0,2,0.5,9,39.3,21.14785,79.0839,Anjali Agarwal,+91 903560 3819,"650, Church Street, Pratap Nagar",407421.0
2104.0,1,1,3.5,57,0.6,7,31.6,21.14274,79.09243,Rahul Nair,+91 979929 4284,"530, Park Avenue, Sadar",340854.0
1241.0,4,4,2.0,1,2.5,10,0.4,21.16232,79.07109,Kavya Gupta,+91 666298 5507,"302, Park Avenue, Trimurti Nagar",295366.0
2040.0,4,4,2.0,65,10.6,1,68.8,21.23014,79.03952,Rahul Bose,+91 999597 5816,"30, Lake View Lane, Trimurti Nagar",255604.0
1177.0,2,2,1.5,29,10.8,7,11.1,21.05011,79.10738,Diya Sharma,+91 964685 3455,"548, Market Street, Civil Lines",144598.0
2371.0,2,2,3.0,11,5.3,6,21.9,21.14926,79.13924,Arjun Iyer,+91 635295 8332,"349, Church Street, Civil Lines",355942.0
1768.0,2,2,3.0,20,12.8,7,19.0,21.24744,79.14617,Amit Deshmukh,+91 856585 8037,"920, MG Road, Sadar",275875.0
1680.0,2,2,2.0,54,5.6,10,33.1,21.16783,79.13699,Ishaan Nair,+91 937545 9690,"44, Hill Top Road, Sitabuldi",253203.0
1357.0,1,1,3.0,67,0.6,4,16.0,21.14538,79.08229,Anjali Agarwal,+91 688954 5989,"682, Lake View Lane, Sitabuldi",206346.0
2595.0,2,2,3.0,45,4.1,2,34.7,21.11933,79.06089,Priya Iyer,+91 996218 1047,"383, Green Valley Road, Hingna Road",382789.0
1700.0,4,4,3.5,12,5.9,1,24.3,21.14923,79.1446,Sanjay Mehta,+91 772587 9702,"268, Hill Top Road, Laxmi Nagar",285468.0
1522.0,2,2,3.5,72,4.6,5,6.1,21.18107,79.11172,Aditya Nair,+91 711879 3991,"713, Green Valley Road, Manish Nagar",270391.0
1571.0,4,4,3.0,63,7.6,2,87.1,21.21083,79.06431,Neha Rao,+91 781415 0848,"514, Sunrise Boulevard, Pratap Nagar",184120.0
2146.0,5,5,3.5,32,2.4,2,30.6,21.16697,79.08172,Priya Rao,+91 845793 5308,"75, MG Road, Wardha Road",338799.0
2038.0,4,4,3.0,44,10.1,2,9.5,21.19805,79.16831,Ananya Bose,+91 953789 4144,"601, Church Street, Laxmi Nagar",261478.0
2068.0,3,3,2.5,77,9.6,3,52.2,21.22254,79.13153,Kavya Deshmukh,+91 925480 7623,"179, Ring Road, Ramdaspeth",265947.0
2080.0,2,2,3.5,30,1.7,2,12.3,21.13303,79.09777,Sneha Iyer,+91 683658 6891,"849, Hill Top Road, Hingna Road",297035.0
3192.0,5,5,1.5,2,16.5,5,77.3,21.00391,79.03938,Ritu Nair,+91 989042 9310,"241, Green Valley Road, Gandhibagh",478749.0
1536.0,2,2,2.0,11,3.8,7,6.2,21.17874,79.07768,Sanjay Nair,+91 970350 1943,"793, Sunrise Boulevard, Gandhibagh",289521.0
1467.0,3,3,2.0,48,13.8,3,46.5,21.26996,79.07696,Kabir Deshmukh,+91 680287 4957,"329, Hill Top Road, Ramdaspeth",235758.0
1271.0,3,3,3.0,79,5.8,2,94.4,21.17103,79.13726,Suman Joshi,+91 795460 4637,"315, Sunrise Boulevard, Ramdaspeth",159819.0
2200.0,4,4,1.5,59,0.6,6,15.9,21.15028,79.08476,Neha Joshi,+91 641151 3504,"3, Civil Lines, Dharampeth",320389.0
2534.0,3,3,2.0,49,1.3,1,20.1,21.15299,79.07786,Priya Nair,+91 933993 8239,"918, Sunrise Boulevard, Trimurti Nagar",334319.0
1726.0,4,4,1.0,25,22.7,8,60.0,21.03015,79.26865,Aarav Iyer,+91 713899 8943,"552, Hill Top Road, Wardha Road",263432.0
1254.0,5,5,3.5,35,4.8,4,98.0,21.10228,79.08618,Rahul Joshi,+91 731191 6264,"148, MG Road, Ramdaspeth",264223.0
1264.0,2,2,3.5,3,10.7,5,38.6,21.15842,78.98545,Anjali Agarwal,+91 913782 2740,"35, Church Street, Civil Lines",237183.0
2223.0,5,5,1.0,29,5.9,3,64.9,21.18593,79.1262,Sai Bose,+91 813217 4704,"276, College Road, Gandhibagh",318978.0
2283.0,1,1,3.0,49,3.1,3,15.2,21.12263,79.07158,Pooja Sharma,+91 945944 8331,"492, Park Avenue, Laxmi Nagar",323354.0
2153.0,5,5,2.0,72,18.3,2,64.1,21.08112,79.25129,Aditya Gupta,+91 970244 0591,"34, Green Valley Road, Laxmi Nagar",277110.0
1367.0,1,1,3.0,73,3.6,6,25.3,21.1612,79.11912,Suman Kulkarni,+91 945353 1893,"361, Sunrise Boulevard, Manish Nagar",265881.0
1951.0,5,5,3.5,65,8.2,2,61.3,21.08534,79.13444,Arjun Patel,+91 601884 8241,"311, Station Road, Hingna Road",316145.0
1876.0,2,2,1.0,1,1.2,7,8.9,21.15575,79.09321,Neha Mehta,+91 656976 6645,"872, Lake View Lane, Pratap Nagar",329302.0
1942.0,5,5,1.5,64,2.1,3,52.5,21.12798,79.08216,Aarav Nair,+91 610748 1328,"414, MG Road, Pratap Nagar",294192.0
2366.0,1,1,2.0,17,27.1,6,23.7,21.36944,79.19402,Anjali Patel,+91 736054 6510,"105, Civil Lines, Ramdaspeth",322805.0
1945.0,3,3,1.5,49,14.5,6,68.2,21.06908,78.975,Kavya Rao,+91 812729 0570,"241, Civil Lines, Gandhibagh",281362.0
2241.0,5,5,1.5,75,26.7,7,74.8,21.38581,79.10825,Suman Rao,+91 850748 6311,"825, Hill Top Road, Trimurti Nagar",277358.0
1844.0,1,1,3.0,71,22.1,8,84.8,21.09434,78.88245,Ananya Kulkarni,+91 803731 0427,"13, Park Avenue, Sadar",207290.0
1988.0,2,2,3.0,53,10.3,6,99.2,21.09114,79.00771,Vivaan Agarwal,+91 831240 1937,"133, Station Road, Sadar",295570.0
2210.0,1,1,2.0,23,12.7,9,45.9,21.06813,78.99785,Rahul Bose,+91 991680 3102,"11, Green Valley Road, Manish Nagar",325814.0
853.0,2,2,1.0,41,18.6,3,67.1,20.99256,79.01439,Ishaan Nair,+91 818270 6614,"50, College Road, Laxmi Nagar",134024.0
1592.0,2,2,1.5,56,3.1,8,1.8,21.15745,79.11517,Riya Kulkarni,+91 796842 4494,"923, Lake View Lane, Hingna Road",309037.0
1494.0,4,4,3.0,41,1.9,4,90.5,21.12932,79.08287,Aarav Deshmukh,+91 765338 2460,"989, Hill Top Road, Trimurti Nagar",254709.0
1385.0,2,2,1.5,32,0.5,7,61.6,21.14961,79.09099,Rohan Bose,+91 968454 6064,"734, Hill Top Road, Trimurti Nagar",243159.0
